rank,stadium,capacity,region,country,city,home_teams
285,Yantai Sports Park Stadium,45000,East Asia,China,"Yantai, Shandong",Unknown
286,Stadium Tuanku Abdul Rahman,45000,Southeast Asia,Malaysia,Seremban,"ATM FA, Negeri Sembilan"
287,Stade du Complexe sportif de Fès,45000,Africa,Morocco,Fes,"Wydad de Fès, Maghreb de Fès, Morocco national team"
288,Lagos National Stadium,45000,Africa,Nigeria,Lagos,Nigeria national football team
289,Egyptian Army Stadium,45000,Africa,Egypt,Suez,Unknown
290,Toyota Stadium,45000,East Asia,Japan,"Toyota City, Aichi","Nagoya Grampus, Toyota Verblitz"
291,Zayed Sports City Stadium,45000,West Asia,United Arab Emirates,Abu Dhabi,Unknown
292,Red Bull Arena,44345,Europe,Germany,Leipzig,RB Leipzig
293,Estádio Governador Alberto Tavares Silva,44200,South America,Brazil,Teresina,"River AC, EC Flamengo, Piauí EC, SE Tiradentes, Auto EC"
294,Estádio Universitário Pedro Pedrossian,44200,South America,Brazil,"Campo Grande, Mato Grosso do Sul","EC Comercial, Operário FC"
295,Ulsan Munsu Football Stadium,44102,East Asia,South Korea,Ulsan,Ulsan HD FC
296,Arena Pantanal,44097,South America,Brazil,"Cuiabá, Mato Grosso","Cuiabá, Mixto EC"
297,Arena da Amazônia,44000,South America,Brazil,"Manaus, Amazonas",Nacional FC
298,Suwon World Cup Stadium,43959,East Asia,South Korea,Suwon,Suwon Samsung Bluewings
299,Stadion Utama Riau,43923,Southeast Asia,Indonesia,"Pekanbaru, Riau",PSPS Pekanbaru
300,Allianz Parque,43713,South America,Brazil,"São Paulo, São Paulo",SE Palmeiras
301,Shandong Provincial Stadium,43700,East Asia,China,"Jinan, Shandong",Unknown
302,Polsat Plus Arena Gdańsk,43615,Europe,Poland,Gdańsk,Lechia Gdańsk
303,Estadio Pedro Bidegain,43494,South America,Argentina,Buenos Aires,CA San Lorenzo de Almagro
304,Stadion Miejski w Poznaniu,43269,Europe,Poland,Poznań,"Lech Poznań, Warta Poznań"
305,Vasil Levski National Stadium,43230,Europe,Bulgaria,Sofia,Bulgaria national football team
306,Estadio Universidad San Marcos,43000,South America,Peru,Lima,Deportivo Universidad San Marcos
307,Ullevi,43000,Europe,Sweden,Gothenburg,Sweden women's national football team
308,Jinzhou Binhai Sports Centre Stadium,43000,East Asia,China,Jinzhou,Unknown
309,Estadio General Santander,42901,South America,Colombia,Cúcuta,Cúcuta Deportivo
310,Villa Park,42682,Europe,England,"Birmingham, West Midlands",Aston Villa
311,Perak Stadium,42500,Southeast Asia,Malaysia,Perak,Perak FA
312,Jeonju World Cup Stadium,42477,East Asia,South Korea,Jeonju,Jeonbuk Hyundai Motors FC
313,Ligga Arena,42372,South America,Brazil,"Curitiba, Paraná",Athletico Paranaense
314,Weserstadion,42358,Europe,Germany,Bremen,SV Werder Bremen
315,Denka Big Swan Stadium,42300,East Asia,Japan,"Niigata, Niigata",Albirex Niigata
316,Estadio Olimpico Metropolitano de Mérida,42200,South America,Venezuela,Mérida,Estudiantes de Mérida
317,Daejeon World Cup Stadium,42176,East Asia,South Korea,Daejeon,Daejeon Citizen
318,Matmut ATLANTIQUE,42115,Europe,France,Bordeaux,FC Girondins de Bordeaux
319,Helsingin Olympiastadion,42062,Europe,Finland,Helsinki,Finland national football team
320,Estádio Serra Dourada,42000,South America,Brazil,"Goiânia, Goiás","Goiás Esporte Clube, Vila Nova, Atlético Goianiense"
321,Estadio Deportivo Cali,42000,South America,Colombia,Cali,Deportivo Cali
322,Estadio Modelo Alberto Spencer,42000,South America,Ecuador,Guayaquil,"Club Sport Patria, Club Deportivo Everest, Panamá Sporting Club, Rocafuerte Fútbol Club"
323,Estádio do Zimpeto,42000,Africa,Mozambique,Maputo,Mozambique national football team
324,Chengdu Sports Centre Stadium,42000,East Asia,China,"Chengdu, Sichuan",Unknown
325,Royal Bafokeng Stadium,42000,Africa,South Africa,"Phokeng, North West",Unknown
326,Estadio Universitario,42000,North America,Mexico,San Nicolás de los Garza,Tigres de la UANL
327,Estadio Brigadier General Estanislao López,42000,South America,Argentina,Santa Fe,Club Atlético Colón
328,Estadio Marcelo Bielsa,42000,South America,Argentina,Rosario,Newell's Old Boys
329,Stade Geoffroy-Guichard,41965,Europe,France,Saint-Étienne,AS Saint-Étienne
330,Vodafone Park,41903,Europe,Turkey,Istanbul,Beşiktaş J.K.
331,Peter Mokaba Stadium,41733,Africa,South Africa,Polokwane,Polokwane City FC
332,Estadio Gigante de Arroyito,41654,South America,Argentina,Rosario,Rosario Central
333,Estadio Cachamay,41600,South America,Venezuela,Ciudad Guayana,"Atlético Club Mineros de Guayana, AC Minervén FC"
334,Estadio de Liga Deportiva Universitaria,41596,South America,Ecuador,Quito,LDU
335,Allianz Stadium,41507,Europe,Italy,"Turin, Piedmont",Juventus FC
336,Sapporo Dome,41484,East Asia,Japan,"Sapporo, Hokkaido",Hokkaido Consadole Sapporo
337,Stamford Bridge,41663,Europe,England,London,Chelsea
338,Goyang Stadium,41311,East Asia,South Korea,Goyang,Unknown
339,Estadio Hernando Siles,41143,South America,Bolivia,La Paz,"La Paz FC, Club Bolívar, The Strongest"
340,Bingu National Stadium,41100,Africa,Malawi,Lilongwe,"Flames, Big Bullets FC"
341,Mbombela Stadium,40929,Africa,South Africa,"Nelspruit, Mpumalanga",Unknown
342,Estadio José Pachencho Romero,40800,South America,Venezuela,Maracaibo,"Deportivo JBL del Zulia, Deportivo Rayo Zuliano"
343,Stade Nelson Mandela,40784,Africa,Algeria,Algiers,Algeria national football team
344,Kashima Football Stadium,40728,East Asia,Japan,"Kashima, Ibaraki",Kashima Antlers
345,Baba Yara Stadium,40528,Africa,Ghana,Kumasi,"Asante Kotoko, King Faisal Babes"
346,Estádio Major Antônio Couto Pereira,40502,South America,Brazil,"Curitiba, Paraná",Coritiba Foot Ball Club
347,Stage Front Stadium,40500,Europe,Spain,Barcelona,RCD Espanyol
348,Estadio Metropolitano de fútbol de Lara,40312,South America,Venezuela,Barquisimeto,Unión Lara
349,Estadio Malvinas Argentinas,40268,South America,Argentina,Mendoza,Godoy Cruz Antonio Tomba
350,Stadion Lukas Enembe,40263,Southeast Asia,Indonesia,Nolokla,Persipura Jayapura
351,Gwangju World Cup Stadium,40245,East Asia,South Korea,Gwangju,Gwangju FC
352,Sân vận động Quốc gia Mỹ Đình,40192,Southeast Asia,Vietnam,Hanoi,Vietnam national football team
353,Goodison Park,40157,Europe,England,"Liverpool, North West",Everton FC
354,Estádio Governador João Castelo,40149,South America,Brazil,"São Luís, Maranhão","Sampaio Corrêa FC, Moto Club SL, Maranhão AC"
355,Miloud Hadefi Stadium,40143,Africa,Algeria,Oran,"Algeria national football team, MC Oran"
356,Estadio Campeón del Siglo,40005,South America,Uruguay,Montevideo,Club Atlético Peñarol
357,Metalist Stadium,40003,Europe,Ukraine,Kharkiv,"FC Metalist Kharkiv, FC Shakhtar Donetsk"
358,Al-Janoub Stadium,40000,West Asia,Qatar,Al-Wakrah,Unknown
359,Al-Thumama Stadium,40000,West Asia,Qatar,Al-Thumama,Unknown
360,Ahmed Zabana Stadium,40000,Africa,Algeria,Oran,MC Oran
361,Stadion Batakan,40000,Southeast Asia,Indonesia,"Balikpapan, East Kalimantan",Persiba Balikpapan
362,Ali La Pointe Stadium,40000,Africa,Algeria,Algiers,MC Alger
363,Stadion Gelora Joko Samudro,40000,Southeast Asia,Indonesia,"Gresik, East Java",Gresik United
364,Fisht Olympic Stadium,40000,Europe,Russia,Sochi,Unknown
365,Rentschler Field,40000,North America,United States,"East Hartford, Connecticut",Unknown
366,Jawaharlal Nehru Stadium,40000,South Asia,India,Kochi,"Kerala Blasters, India national football team"
367,Hang Jebat Stadium,40000,Southeast Asia,Malaysia,Malacca,Melaka United
368,Hong Kong Stadium,40000,East Asia,Hong Kong,So Kon Po,South China AA
369,Stadium Negeri Pulau Pinang,40000,Southeast Asia,Malaysia,Batu Kawan,Penang FA
370,Accra Sports Stadium,40000,Africa,Ghana,Accra,"Accra Hearts of Oak SC, Great Olympics"
371,Sarawak Stadium,40000,Southeast Asia,Malaysia,Kuching,Sarawak FA
372,Bogyoke Aung San Stadium,40000,Southeast Asia,Myanmar,Yangon,Yangon United FC
373,Resonac Dome Ōita,40000,East Asia,Japan,Ōita,Ōita Trinita
374,Stadium Darul Makmur,40000,Southeast Asia,Malaysia,Kuantan,Pahang FA
375,Khalifa International Stadium,40000,West Asia,Qatar,Doha,Qatar national football team
376,Stade de l’Amitié sino-gabonaise,40000,Africa,Gabon,Libreville,Gabon national football team
377,Peoples Football Stadium,40000,South Asia,Pakistan,Karachi,Pakistan national football team
378,JRD Tata Sports Complex Stadium,40000,South Asia,India,Jamshedpur,"Jamshedpur FC, Tata Football Academy"
379,Bao'an Stadium,40000,East Asia,China,"Shenzhen, Guangdong",Unknown
380,Kunming Tuodong Sports Centre Stadium,40000,East Asia,China,"Kunming, Yunnan",China national football team
381,Taizhou Sports Centre Stadium,40000,East Asia,China,"Taizhou, Zhejiang",Unknown
382,Wuhu Olympic Stadium,40000,East Asia,China,"Wuhu, Anhui",Unknown
383,Huizhou Olympic Stadium,40000,East Asia,China,"Huizhou, Guangdong",Unknown
